timestamp,temperature,humidity,current,rpm,vibration,status
22-11-06,31,37,0.0,0.0,2.23,anomaly
22-11-12,32,37,0.173,5475.0,2.273,normal
22-11-18,32,37,0.439,6120.0,2.229,normal
22-11-23,32,37,0.365,6105.0,2.241,normal
22-11-29,32,37,0.0,6135.0,2.398,normal
22-11-34,32,37,0.0,6300.0,2.283,normal
22-11-40,32,38,0.104,6075.0,2.25,normal
22-11-46,32,38,0.0,6105.0,3.229,anomaly
22-11-51,32,38,0.456,6090.0,2.282,normal
22-11-57,32,37,0.469,6120.0,2.748,anomaly
22-12-03,32,37,0.195,6030.0,2.477,normal
22-12-10,32,37,0.117,6105.0,2.603,anomaly
22-12-15,32,37,0.134,6150.0,2.605,anomaly
22-12-21,32,37,0.822,6030.0,2.097,anomaly
22-12-28,32,37,0.0,6090.0,2.063,normal
22-12-33,32,37,0.073,6030.0,2.386,normal
22-12-40,32,37,0.404,6135.0,2.24,normal
22-12-46,32,37,0.204,5955.0,2.237,normal
22-12-52,32,37,0.108,6090.0,2.194,normal
22-12-58,32,37,0.0,6075.0,2.191,normal
22-13-03,32,37,0.0,6105.0,2.213,normal
22-13-08,32,37,0.391,6075.0,2.207,normal
22-13-14,32,37,0.204,5985.0,2.194,normal
22-13-19,32,37,0.374,6120.0,2.18,normal
22-13-25,32,37,0.178,6000.0,2.201,normal
22-13-31,32,37,0.165,6060.0,2.199,normal
22-13-37,32,37,0.0,6075.0,2.238,normal
22-13-42,32,37,0.077,6105.0,2.2,normal
22-13-49,32,37,0.147,6120.0,2.254,normal
22-13-54,32,37,0.121,6135.0,2.22,normal
22-13-59,32,37,0.121,5970.0,2.204,normal
22-14-04,32,37,0.0,6165.0,2.258,normal
22-14-10,32,37,0.539,6075.0,2.22,normal
22-14-16,32,37,0.178,6195.0,2.182,normal
22-14-21,32,37,0.339,9540.0,2.226,normal
22-14-27,32,37,1.193,12870.0,2.215,anomaly
22-14-33,32,37,1.58,11115.0,2.213,anomaly
22-14-39,32,38,0.117,8595.0,2.259,normal
22-14-44,32,38,0.321,8670.0,2.185,normal
22-14-51,32,38,0.112,8535.0,2.195,normal
22-14-56,32,38,0.687,8505.0,2.211,normal
22-15-01,32,38,0.705,8700.0,2.218,normal
22-15-08,32,38,0.618,8640.0,2.205,normal
22-15-13,32,38,0.326,8505.0,2.186,normal
22-15-18,32,38,0.347,8595.0,2.207,normal
22-15-23,32,38,0.077,8520.0,2.23,normal
22-15-28,32,38,0.208,8505.0,2.183,normal
22-15-35,32,38,0.256,8505.0,2.225,normal
22-15-41,32,38,0.326,8550.0,2.255,normal
22-15-48,32,38,0.561,8580.0,2.226,normal
22-15-54,32,38,0.243,8550.0,2.224,normal
22-16-00,32,38,0.0,8580.0,2.205,normal
22-16-06,32,38,0.112,8640.0,2.21,normal
22-16-11,32,38,0.0,8685.0,2.211,normal
22-16-17,32,38,0.391,8580.0,2.166,normal
22-16-22,32,38,0.26,8610.0,2.174,normal
22-16-27,32,38,0.635,8580.0,2.193,normal
22-16-34,32,40,0.182,8775.0,2.213,normal
22-16-39,32,42,0.609,8445.0,2.243,normal
22-16-44,32,41,0.0,8595.0,2.189,normal
22-16-50,32,40,0.313,8595.0,2.236,normal
22-16-55,32,39,0.0,7380.0,2.208,normal
22-17-00,32,39,0.138,5790.0,2.217,normal
22-17-06,32,39,0.0,5985.0,2.247,normal
22-17-11,32,39,0.095,6015.0,2.23,normal
22-17-16,32,39,0.11,6090.0,2.212,normal
22-17-23,32,39,0.243,5985.0,2.249,normal
22-17-28,32,39,0.195,5985.0,2.207,normal
22-17-34,32,39,0.212,6015.0,2.239,normal
22-17-39,32,39,0.0,5940.0,2.208,normal
22-17-45,32,39,0.175,5985.0,2.236,normal
22-17-50,32,39,0.117,5925.0,2.252,normal
22-17-55,32,39,0.0,5985.0,2.214,normal
22-18-00,32,39,0.0,5985.0,2.192,normal
22-18-06,32,39,0.147,5970.0,2.2,normal
22-18-11,32,39,0.092,5910.0,2.199,normal
22-18-16,32,39,0.223,5985.0,2.227,normal
22-18-21,32,39,0.0,5895.0,2.242,normal
22-18-26,32,39,0.0,5955.0,2.192,normal
22-18-34,32,39,0.0,6060.0,2.242,normal
22-18-39,32,39,0.132,5955.0,2.207,normal
22-18-44,32,39,0.062,6000.0,2.206,normal
22-18-49,32,39,0.075,5985.0,2.212,normal
22-18-56,32,39,0.0,5970.0,2.235,normal
22-19-01,32,39,0.0,5910.0,2.227,normal
22-19-07,32,39,0.0,5955.0,2.247,normal
22-19-12,32,39,0.162,6255.0,2.255,normal
22-19-17,32,39,0.0,6345.0,2.229,normal
22-19-22,32,39,0.0,7335.0,2.201,normal
22-19-27,32,39,0.265,8340.0,2.22,normal
22-19-33,32,39,0.0,7305.0,2.205,normal
22-19-38,32,39,0.117,6615.0,2.259,normal
22-19-43,32,39,0.084,7485.0,2.245,normal
22-19-48,32,39,0.186,7425.0,2.25,normal
22-19-54,32,39,0.0,7425.0,2.232,normal
22-20-00,32,39,0.162,7515.0,2.241,normal
22-20-05,32,39,0.162,7395.0,2.215,normal
22-20-10,32,39,0.0,7470.0,2.212,normal
22-20-16,32,39,0.0,7530.0,2.209,normal
22-20-21,32,39,0.273,7440.0,2.244,normal
